number of photons = 100000000
overflow: 2.89055833004013895988e+07
sum: 7.10947982169463783503e+07
sum: 7.10944166995986104012e+07
avg: 7.10947982169463754687e-01
perc_in: 71.09

number of photons = 100000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.63750 	 0.00000000000000000000e+00 	 3.78325357704693355024e-03 	 2.12163662957761790456e-07 
0.64583 	 0.00000000000000000000e+00 	 4.17765353086191424531e-03 	 2.14242174625221768899e-07 
0.65417 	 0.00000000000000000000e+00 	 4.61580663809581497742e-03 	 2.29716403578631257980e-07 
0.66250 	 7.20201274901878023985e-11 	 5.09753072999134370508e-03 	 2.58268146803932675440e-07 
0.67083 	 2.14042588763770458497e-10 	 5.63078355072055974917e-03 	 2.93532545089713894234e-07 
0.67917 	 2.11568154242159224630e-10 	 6.21991863948188200562e-03 	 3.24458596294727626074e-07 
0.68750 	 1.40091330376327638617e-10 	 6.87369003905493377443e-03 	 3.72764121928609397479e-07 
0.69583 	 3.03482538307469625183e-10 	 7.59602477597357082090e-03 	 4.41512300858372249638e-07 
0.70417 	 2.62434607552885733550e-10 	 8.39576127941821757916e-03 	 4.65268983327797938908e-07 
0.71250 	 8.96627855133919913725e-10 	 9.27632897385984034333e-03 	 5.44354686954454809282e-07 
0.72083 	 1.53501862826509272142e-09 	 1.02476763910976636368e-02 	 6.02219680595532195118e-07 
0.72917 	 1.05866325051142296767e-09 	 1.13314646812634079592e-02 	 6.54236083776988026893e-07 
0.73750 	 1.37845707670245114070e-09 	 1.25317524695915047395e-02 	 6.81909990350559738858e-07 
0.74583 	 1.23156817685045654391e-09 	 1.38545419962758081106e-02 	 7.31577936065411398847e-07 
0.75417 	 7.79324510313612691068e-10 	 1.53124020349308300609e-02 	 8.34673885081310881378e-07 
0.76250 	 8.76944361388154090617e-10 	 1.69301159401747461364e-02 	 9.03324594090443379175e-07 
0.77083 	 1.50269523631911481003e-09 	 1.87213540823018415038e-02 	 1.00558239914737732962e-06 
0.77917 	 2.09969130503152440824e-09 	 2.06971771744489767275e-02 	 1.12152047176955146991e-06 
0.78750 	 1.55763128164756949480e-09 	 2.28891713660841558675e-02 	 1.23502926466591135508e-06 
0.79583 	 2.50475823329483875820e-09 	 2.53115559983989255044e-02 	 1.38386433023807384562e-06 
0.80417 	 2.23363051214312267221e-09 	 2.79900093534721783328e-02 	 1.54765200124757129018e-06 
0.81250 	 3.02849641560415606235e-09 	 3.09610927087291265547e-02 	 1.69223871273939592201e-06 
0.82083 	 2.59855445780079424226e-09 	 3.42574047325545014142e-02 	 1.89038493089103938647e-06 
0.82917 	 2.86006398790097288137e-09 	 3.78953932476104662919e-02 	 2.15605185451694763749e-06 
0.83750 	 3.21433712256044647114e-09 	 4.19042100257705357746e-02 	 2.39902329689282740261e-06 
0.84583 	 4.23314086050991448508e-09 	 4.63482873995211541729e-02 	 2.64330231967256894260e-06 
0.85417 	 4.04466698259288369994e-09 	 5.12722785967355404457e-02 	 2.95083620394821009549e-06 
0.86250 	 4.13465973512326110665e-09 	 5.67126273090031648993e-02 	 3.16164606208900998097e-06 
0.87083 	 3.62751398749944108161e-09 	 6.27365135425923398094e-02 	 3.49650359376281596796e-06 
0.87917 	 4.09424198876235633230e-09 	 6.94060519328916353254e-02 	 3.92264852437902583897e-06 
0.88750 	 5.88503118491078412455e-09 	 7.67937710213375257506e-02 	 4.42756027663114380818e-06 
0.89583 	 6.73050350633916950411e-09 	 8.49919780806886598912e-02 	 4.92860808045673477924e-06 
0.90417 	 7.13150813511664195874e-09 	 9.40599644505002163708e-02 	 5.47685185134240371338e-06 
0.91250 	 9.29603849614244654583e-09 	 1.04081125143678801526e-01 	 5.97027109232665486297e-06 
0.92083 	 1.06734770810302526845e-08 	 1.15189394644920034549e-01 	 6.76728320406972441150e-06 
0.92917 	 1.14759303364573524824e-08 	 1.27458928261198811693e-01 	 7.48513897222409616428e-06 
0.93750 	 1.16195998842548658585e-08 	 1.41078370045242817987e-01 	 8.41716214994033307714e-06 
0.94583 	 1.31038052055384988192e-08 	 1.56117792040589564717e-01 	 9.17168886515981431127e-06 
0.95417 	 1.35638472799730102716e-08 	 1.72804481029449147345e-01 	 1.02417403596018966315e-05 
0.96250 	 1.29591704877719066551e-08 	 1.91296601894020007473e-01 	 1.12920342123882998741e-05 
0.97083 	 1.43654585068282738808e-08 	 2.11737655233589311399e-01 	 1.25624433262189639794e-05 
0.97917 	 1.49347866109539517006e-08 	 2.34429905931500537353e-01 	 1.38193162277674360696e-05 
0.98750 	 1.73338470567514911260e-08 	 2.59595307169800615377e-01 	 1.54726852571955717441e-05 
0.99583 	 2.02593309140909233573e-08 	 2.87632558954792449946e-01 	 1.71104808747395577934e-05 
1.00417 	 2.31818904571057538148e-08 	 3.18868120236229235509e-01 	 1.92888734410428494851e-05 
1.01250 	 2.86220223510064102816e-08 	 3.53951329941754544439e-01 	 2.13527083422706538240e-05 
1.02083 	 2.92086751797938861623e-08 	 3.94300259549767273537e-01 	 2.36495358408391918512e-05 
1.02917 	 3.05837564284698356889e-08 	 4.43311318543971377704e-01 	 2.63357027551716970173e-05 
1.03750 	 3.39234208174284445982e-08 	 5.13463326699698519029e-01 	 2.95698454999630664817e-05 
1.04583 	 3.77937110022642825181e-08 	 8.53130899744767301485e-01 	 3.28566203456652497429e-05 
1.05417 	 4.28390720196465590743e-08 	 6.25842511460564465686e-01 	 3.65968110685448047396e-05 
1.06250 	 4.70237218461250852399e-08 	 4.84255765059087461832e-01 	 4.04183332176257382583e-05 
